Audio,PalavraAlvo,Item,Group
VAQUINHA1.mp3,LEITE,1,A
MACACO1.mp3,FLORESTA,2,A
PIRANHA1.mp3,PEIXE,3,A
PERUA1.mp3,FAZENDA,4,A
GATO1.mp3,RACAO,5,A
AVIAOZINHO1.mp3,ALCOOL,6,A
MOCA1.mp3,ACUCAR,7,A
BRUXA1.mp3,INSETO,8,A
CAIPIRINHA1.mp3,COPO,9,A
BEIJINHO1.mp3,COCADA,10,A
FLANELINHA1.mp3,TATU,11,A
BUCHINHA1.mp3,VENTANIA,12,A
PAPELAO1.mp3,MOSQUITO,13,A
MOCHILAO1.mp3,VITRINE,14,A
CAIXAO1.mp3,BORBOLETA,15,A
TOLUCA1.mp3,TOLUCA,16,A
PANDECA1.mp3,PANDECA,17,A
VILCOLTO1.mp3,VILCOLTO,18,A
TREMOCO1.mp3,TREMOCO,19,A
AZEDUME1.mp3,AZEDUME,20,A
BOCAL1.mp3,BOCAL,21,A
SIDEBO1.mp3,SIDEBO,22,A
ASTUCIA1.mp3,ASTUCIA,23,A
LINETO1.mp3,LINETO,24,A
BALAUSTRE1.mp3,BALAUSTRE,25,A
CALOREDA1.mp3,CALOREDA,26,A
POCILGA1.mp3,POCILGA,27,A
PARAVO1.mp3,PARAVO,28,A
EFLUVIO1.mp3,EFLUVIO,29,A
BINOTA1.mp3,BINOTA,30,A
LABEU1.mp3,LABEU,31,A
DINOSCADO1.mp3,DINOSCADO,32,A
CUNTATORIO.mp3,CUNTATORIO,33,A
MOSFIGUE1.mp3,MOSFIGUE,34,A
INOCUO1.mp3,INOCUO,35,A
BATISCARIA1.mp3,BATISCARIA,36,A
LOQUAZ1.mp3,LOQUAZ,37,A
CHECARIO1.mp3,CHECARIO,38,A
QUIMERA1.mp3,QUIMERA,39,A
GUETIACHO1.mp3,GUETIACHO,40,A
RUFIAO1.mp3,RUFIAO,41,A
PITEDA1.mp3,PITEDA,42,A
TREBODA1.mp3,TREBODA,43,A
ZARAGATOA1.mp3,ZARAGATOA,44,A
BELICOSO1.mp3,BELICOSO,45,A
VAQUINHA1.mp3,DOACAO,1,B
MACACO1.mp3,FERRAMENTA,2,B
PIRANHA1.mp3,PENTE,3,B
PERUA1.mp3,VEICULO,4,B
GATO1.mp3,FIACAO,5,B
AVIAOZINHO1.mp3,TOMATE,6,B
MOCA1.mp3,JANELA,7,B
BRUXA1.mp3,CANETA,8,A
CAIPIRINHA1.mp3,MAPA,9,A
BEIJINHO1.mp3,AGULHA,10,B
FLANELINHA1.mp3,PANO,11,B
BUCHINHA1.mp3,LIMPEZA,12,B
PAPELAO1.mp3,RECICLAGEM,13,B
MOCHILAO1.mp3,ESTOJO,14,B
CAIXAO1.mp3,EMBALAGEM,15,B
TOLUCA1.mp3,TOLUCA,16,B
PANDECA1.mp3,PANDECA,17,B
VILCOLTO1.mp3,VILCOLTO,18,B
TREMOCO1.mp3,TREMOCO,19,B
